 1.1350    1 0 2 0 2 1 0 2 2 2 0 1 2 2 2 1 0 2 1 0 1 2 0 1 2 0 0 0 0 2 1 1 2 0 0 1 2 2 1 1 2 2 1 0 2 1 2 0 2 0 0 2 2 1 0 2 1 0 1 0 0 0 1 2 2 0 2 2 2 1 2 2 0 1 0 1 0 2 1 0 0 2 1 0 2 0 2 2 2 1 2 0 2 0 0 0 0 1 1 0 1 1 0 2 0 2 1 2 0 0 0 0 1 2 2 0 2 2 2 0 0 0 1 2 0 0 1 2 0 2 0 0 1 1 0 0 2 2 0 2 0 1 2 2 1 2 2 1 0 1 2 2 0 0 1 0 1 0 1 0 0 1 0 1 2 2 1 0 2 0 2 1 2 2 2 2 0 1 1 2 1 2 2 2 2 0 0 1 1 2 0 0 2 2 2 1 1 1 1 1 0
-1.5429    2 0 1 2 2 0 1 2 1 2 0 1 0 0 0 1 0 1 0 0 0 1 0 2 0 1 0 2 0 2 0 1 0 0 2 1 2 2 1 0 1 2 1 2 2 1 1 1 2 0 0 1 2 2 0 0 0 1 2 1 1 0 1 1 2 0 2 2 2 1 2 1 1 2 0 1 0 2 0 1 1 2 2 0 1 0 2 0 2 1 1 0 0 1 1 1 0 1 1 0 1 1 1 2 0 2 1 0 0 0 1 0 2 0 2 1 2 2 2 0 1 1 1 2 0 0 0 1 0 2 1 0 0 0 1 0 1 2 0 1 1 1 0 2 0 0 1 2 1 0 0 1 0 0 1 1 2 1 0 0 0 2 0 0 1 1 0 0 2 0 2 2 2 2 2 0 0 1 0 1 1 0 2 2 2 0 0 0 1 2 0 0 1 0 1 2 2 2 0 0 2
 0.6444    3 0 2 0 1 0 0 2 0 2 0 2 1 1 2 2 0 1 0 1 1 1 0 2 1 1 0 2 0 2 0 1 0 0 2 1 2 2 0 0 2 0 2 2 0 1 1 0 2 0 2 2 1 0 0 1 1 0 2 1 2 1 2 0 2 0 1 1 0 1 2 1 0 1 0 1 0 2 0 1 1 2 2 0 1 0 2 2 2 1 1 0 2 0 2 1 0 1 1 0 2 0 1 2 0 0 0 1 1 0 1 0 2 0 2 2 2 1 2 0 1 0 2 1 0 0 2 1 0 2 1 0 0 2 0 0 2 2 1 2 1 0 1 0 0 0 2 1 1 0 0 2 0 0 1 1 2 1 2 0 0 1 0 0 2 2 0 1 2 0 2 2 2 2 2 0 0 0 2 2 1 1 1 2 2 1 0 2 0 1 1 1 1 2 1 2 1 1 1 0 2
 0.6958    4 0 2 0 1 1 0 1 1 2 0 0 2 0 2 1 0 2 1 0 0 1 0 2 2 0 0 2 0 1 0 2 1 1 1 1 2 2 0 0 2 2 1 0 2 2 0 0 2 1 0 2 2 1 0 1 1 2 2 0 1 0 0 1 2 0 2 2 2 0 1 2 1 1 0 2 0 1 0 2 1 2 1 1 1 0 2 0 2 0 2 0 2 2 2 1 0 1 0 0 1 2 1 2 1 1 2 0 0 0 1 0 2 2 2 2 1 1 1 1 1 0 0 2 0 1 0 1 0 2 0 0 0 1 0 0 0 1 1 1 1 2 1 1 1 0 2 0 1 0 1 1 0 0 0 0 2 1 0 0 1 0 2 1 2 1 0 1 2 0 2 2 2 1 1 0 1 0 1 2 1 0 2 2 2 2 0 2 0 1 0 0 2 2 1 2 0 0 1 0 1
-1.8041    5 0 1 1 2 0 1 2 1 1 0 2 0 2 1 0 0 1 0 0 0 1 1 2 2 1 1 1 1 1 0 0 0 0 0 1 2 1 0 0 1 1 1 2 2 2 0 0 2 0 1 2 2 1 1 2 0 2 2 0 0 0 1 1 2 0 2 1 2 1 2 0 0 2 0 2 1 0 0 0 0 2 1 0 1 0 2 1 1 0 2 0 2 1 1 0 0 1 0 0 1 0 1 2 1 1 2 0 0 0 2 0 2 1 2 2 2 1 1 0 1 1 2 2 0 0 1 2 0 1 1 0 0 0 1 1 2 2 1 1 0 2 1 1 2 0 1 2 1 1 0 1 0 0 2 0 2 2 1 0 0 2 0 1 2 2 1 1 2 0 1 2 0 2 1 0 1 1 1 2 1 1 2 2 2 0 0 1 1 0 0 0 1 2 1 1 2 0 1 0 2
 0.1633    6 0 2 1 2 2 0 2 1 2 0 2 0 0 0 1 0 2 0 0 1 0 2 2 1 1 0 2 0 2 2 1 0 1 0 0 2 1 0 1 2 2 2 1 0 1 1 0 1 2 0 1 1 2 1 1 1 2 1 1 2 0 1 0 2 0 2 1 2 1 2 2 1 1 0 2 0 1 1 1 2 2 2 0 2 1 2 1 2 0 1 0 1 0 2 0 0 0 0 0 2 0 0 2 0 2 1 1 1 0 0 1 1 1 2 2 2 0 1 0 1 0 1 2 0 1 0 0 0 2 1 0 1 2 0 0 1 2 1 2 0 2 2 2 0 1 1 2 1 0 2 2 0 0 1 0 2 0 1 1 1 2 0 1 1 2 0 0 2 0 2 2 2 2 2 0 1 1 1 1 1 0 2 2 2 2 0 2 0 1 0 0 2 2 1 1 1 0 0 0 0
-0.3314    7 0 1 0 2 1 1 2 2 2 0 2 1 1 2 1 0 2 0 0 0 1 0 0 1 1 1 1 0 2 0 2 1 2 2 1 2 1 0 0 2 2 1 2 1 2 1 1 2 1 1 1 1 2 1 2 2 0 2 1 0 0 1 1 2 0 2 1 2 0 1 2 0 2 0 2 0 1 0 1 1 2 2 0 1 0 2 1 2 0 0 0 1 1 1 1 1 2 2 0 1 2 0 0 0 1 1 1 0 0 0 0 2 0 1 0 2 0 2 1 0 1 1 2 0 0 0 1 0 2 1 0 0 1 0 0 1 0 2 1 0 2 2 2 1 0 1 1 1 0 2 1 0 0 2 0 2 0 1 0 2 2 2 0 2 2 0 1 2 0 2 2 2 2 2 1 0 1 1 2 1 0 2 2 2 1 1 1 1 0 1 0 2 1 1 1 2 0 1 1 1
 0.1626    8 0 2 0 2 1 2 2 1 1 0 2 2 0 1 1 0 2 0 0 1 2 0 2 0 0 1 1 1 1 0 0 1 0 1 2 2 2 1 1 2 0 2 0 1 2 1 0 2 0 0 2 1 0 1 1 1 2 1 1 0 0 1 2 2 0 1 2 2 0 2 2 0 2 0 2 0 0 1 1 2 2 2 1 1 0 1 1 1 0 1 0 1 0 2 0 1 1 0 0 0 1 0 2 1 1 1 0 0 0 0 1 0 2 2 1 1 1 2 0 0 0 1 2 0 0 1 2 0 2 1 0 0 1 0 1 1 2 1 1 0 1 2 1 0 0 2 0 1 1 1 1 0 0 1 2 2 1 0 0 1 2 0 0 0 1 1 1 2 0 2 1 1 2 1 1 0 1 2 0 2 2 2 2 2 0 0 2 0 1 0 2 2 0 1 1 1 2 2 0 0
-0.3543    9 2 1 0 2 1 1 2 1 2 0 2 0 0 1 1 0 2 0 0 2 2 1 2 2 0 1 1 0 1 1 1 1 1 1 1 2 2 1 0 1 2 2 0 1 1 0 1 1 2 0 2 2 1 1 2 0 1 2 1 0 0 2 2 2 0 1 1 2 1 2 1 1 2 0 1 0 2 2 1 2 2 2 1 2 0 1 1 2 0 2 0 0 1 1 1 0 0 0 1 0 2 0 1 0 0 2 0 1 0 1 0 1 1 2 0 2 1 1 0 1 1 1 2 0 1 0 1 0 2 2 0 0 1 0 1 1 1 0 2 1 1 2 1 0 2 1 1 0 0 0 0 0 0 1 0 2 0 0 0 0 1 2 1 1 1 0 0 2 0 2 0 2 2 0 0 0 1 1 0 0 0 2 2 2 1 0 1 1 0 0 0 2 1 1 1 1 0 2 0 2
 0.2634   10 1 2 0 1 2 0 2 1 1 0 1 1 0 1 0 0 1 0 0 1 2 2 1 2 0 1 1 1 2 1 1 0 0 2 1 2 2 1 1 2 2 2 1 1 1 0 1 2 0 0 2 0 2 0 1 1 2 2 2 2 0 1 1 2 2 0 2 2 0 1 1 0 1 0 2 1 1 0 1 1 2 2 0 2 0 1 1 2 1 2 0 1 1 2 0 0 2 0 0 0 2 1 2 0 1 0 1 1 1 1 0 2 2 1 2 0 1 2 0 2 0 2 2 0 0 0 2 0 2 1 0 0 2 1 0 2 2 0 2 1 2 2 2 1 1 1 0 0 0 0 2 0 0 1 1 2 1 0 0 1 2 1 0 2 2 0 1 2 0 1 0 2 2 0 0 0 0 1 0 1 0 1 2 2 0 0 1 1 1 0 1 2 2 1 2 1 0 1 0 2
