0 1 1 1 0 0 1 0 0 0 2 2 2 2 0 2 0 1 1 1 0 2 1 2 1 1 0 2 2 2 2 0 2 1 1 1 2 0 0 1 2 2 2 0 0 1 0 0 0 2 2 2 2 2 0 1 1 1 2 2 1 2 2 1 1 2 2 1 0 0 0 2 2 0 1 2 2 0 0 1 0 0 2 1 0 0 0 1 1 0 2 1 1 0 1 1 2 1 2 0 1 1
1 2 2 0 1 2 0 2 1 0 1 0 0 1 1 1 0 0 1 0 0 2 1 1 1 1 2 1 1 0 0 1 0 2 0 2 2 0 0 0 0 2 0 1 1 0 0 0 0 0 1 0 2 0 2 1 0 1 2 0 0 1 0 1 0 1 1 2 1 1 2 0 2 0 1 2 2 2 0 1 1 0 2 1 0 0 1 1 1 0 0 2 1 1 0 2 0 2 0 2 0 0
0 3 2 0 0 0 2 1 1 2 0 1 0 0 1 0 0 0 0 2 1 1 0 1 0 1 0 2 0 1 2 1 1 0 0 1 2 2 1 0 0 1 2 0 1 2 0 1 1 1 2 1 2 1 1 0 0 1 1 1 0 1 1 0 2 0 2 2 0 1 1 0 0 2 2 1 2 1 1 2 0 0 1 0 2 1 0 0 0 1 0 1 2 0 0 2 1 1 2 0 2 0
1 4 1 0 2 1 0 1 2 1 2 2 2 2 0 1 1 0 1 1 2 2 2 0 2 1 0 2 0 1 0 1 0 0 2 1 2 1 2 2 2 2 1 0 1 1 2 0 1 2 1 2 2 0 1 0 1 2 0 2 0 2 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 2 0 2 2 2 2 0 1 0 2 0 2 0 0 1 0 0 1 1 1 0 0 0 0
0 5 1 0 1 0 0 2 2 2 0 1 2 0 0 1 0 0 2 2 1 2 0 0 2 1 1 1 1 2 2 0 0 1 0 0 2 2 2 2 0 0 0 0 1 1 2 1 1 2 0 2 1 2 0 0 1 2 0 1 0 0 0 2 1 1 0 1 2 2 1 0 1 2 0 2 2 2 1 2 1 0 1 2 1 2 1 1 1 2 0 2 0 1 1 1 1 2 0 0 2 1
1 6 2 1 0 2 2 1 0 1 1 2 0 0 2 1 2 2 2 2 1 1 0 1 0 1 2 1 2 2 0 1 0 0 0 2 1 2 0 1 1 0 0 0 0 1 1 1 1 1 2 1 2 0 2 1 2 2 2 1 0 2 2 1 1 0 2 2 1 2 2 0 1 1 2 2 0 0 0 0 0 0 2 0 1 0 1 2 1 1 1 1 1 2 2 2 1 1 1 2 0 1
1 7 0 0 0 2 0 2 0 1 2 2 0 1 2 1 0 2 2 1 0 2 1 1 1 0 2 2 1 2 1 2 2 1 0 0 1 0 1 0 2 0 0 0 2 2 1 1 2 2 0 0 0 0 2 0 0 2 0 2 0 2 0 0 1 1 0 1 1 0 1 1 2 2 0 2 2 1 1 1 0 2 2 1 1 0 0 2 2 2 2 0 2 2 2 2 0 0 1 0 0 2
0 8 2 2 0 1 2 0 1 0 1 1 0 2 2 1 2 2 2 1 0 2 2 2 1 0 0 2 2 1 2 2 2 0 0 1 0 2 0 2 2 1 2 2 0 0 0 0 0 1 0 2 0 0 0 1 0 1 1 2 2 0 2 1 0 0 1 2 1 1 0 1 2 2 0 2 2 2 1 2 0 2 1 0 2 0 1 0 0 1 1 1 0 2 2 2 1 1 1 2 0 2
1 9 0 2 1 2 1 2 1 2 2 0 1 2 2 0 0 0 0 1 2 0 2 2 0 0 0 2 2 1 1 0 2 2 1 2 1 0 1 0 1 2 1 0 1 2 0 0 1 1 0 0 2 0 0 2 1 0 0 0 2 0 2 1 0 0 0 2 1 2 0 0 1 2 1 1 2 2 1 2 0 0 1 1 2 0 0 2 1 0 0 2 2 2 2 2 1 1 2 2 2 1
1 10 1 2 0 2 2 0 0 2 2 0 0 0 1 1 0 2 0 2 2 0 2 1 1 2 2 2 2 2 1 2 2 0 0 0 0 1 0 1 0 2 1 2 1 0 0 0 1 1 0 1 2 1 2 2 1 1 1 2 2 2 2 0 2 1 2 0 1 2 2 0 0 1 2 0 2 2 1 2 2 1 0 2 0 0 1 1 0 0 1 0 1 2 1 2 1 1 1 1 1 0
